,郵便,メルカリ,ラクマ,ペイフリ,ヤフオク
yp,ゆうパケット,230,180,180,180
ypps,ゆうパケット:ポスト(シール),220,180,180,180
yppb,ゆうパケット:ポスト(箱),280,240,240,240
ypp,ゆうパケット:プラス,455,445,(なし),(なし)
y60,ゆうパック:60サイズ,770,700,750,750
y80,ゆうパック:80サイズ,870,800,850,850
y100,ゆうパック:100サイズ,1070,1150,1050,1050
,ヤマト,メルカリ,ラクマ,ペイフリ,ヤフオク
np,ネコポス,210,200,175,175
kc,宅急便:コンパクト,520,600,520,520
k60,宅急便:60サイズ,750,800,750,750
k80,宅急便:80サイズ,850,900,850,850
k100,宅急便:100サイズ,1050,1150,1050,1050
,その他,,
oml,ミニレター,63,63,(なし),63
osm,定形郵便,84,84,(なし),84
osm2,定形郵便,94,94,(なし),94
onsm,定形外郵便,120,120,(なし),120
onsm2,定形外郵便,140,140,(なし),140
osl,スマートレター,180,180,(なし),180
ocp,クリックポスト,185,185,(なし),185
olpl,レターパック[ライト],370,370,(なし),370
olpp,レターパック[プラス],520,520,(なし),520
,
update,最終変更日:2023年4月4日
sfrate,販売手数料,10%,6.6%,5%,会員8.8%
